,Area name
917,Cherokee County
918,Cheyenne County
919,Clark County
920,Clay County
921,Cloud County
922,Coffey County
923,Comanche County
924,Cowley County
925,Crawford County
926,Decatur County
927,Dickinson County
928,Doniphan County
929,Douglas County
930,Edwards County
931,Elk County
932,Ellis County
933,Ellsworth County
934,Finney County
935,Ford County
936,Franklin County
937,Geary County
938,Gove County
939,Graham County
940,Grant County
941,Gray County
942,Greeley County
943,Greenwood County
944,Hamilton County
945,Harper County
946,Harvey County
947,Haskell County
948,Hodgeman County
949,Jackson County
950,Jefferson County
951,Jewell County
952,Johnson County
953,Kearny County
954,Kingman County
955,Kiowa County
956,Labette County
957,Lane County
958,Leavenworth County
959,Lincoln County
960,Linn County
961,Logan County
962,Lyon County
963,McPherson County
964,Marion County
965,Marshall County
966,Meade County
967,Miami County
968,Mitchell County
969,Montgomery County
970,Morris County
971,Morton County
972,Nemaha County
973,Neosho County
974,Ness County
975,Norton County
976,Osage County
977,Osborne County
978,Ottawa County
979,Pawnee County
980,Phillips County
981,Pottawatomie County
982,Pratt County
983,Rawlins County
984,Reno County
985,Republic County
986,Rice County
987,Riley County
988,Rooks County
989,Rush County
990,Russell County
991,Saline County
992,Scott County
993,Sedgwick County
994,Seward County
995,Shawnee County
996,Sheridan County
997,Sherman County
998,Smith County
999,Stafford County
1000,Stanton County
1001,Stevens County
1002,Sumner County
1003,Thomas County
1004,Trego County
1005,Wabaunsee County
1006,Wallace County
1007,Washington County
1008,Wichita County
1009,Wilson County
1010,Woodson County
1011,Wyandotte County
1012,Kentucky
1013,Adair County
1014,Allen County
1015,Anderson County
1016,Ballard County
1017,Barren County
1018,Bath County
1019,Bell County
1020,Boone County
1021,Bourbon County
1022,Boyd County
1023,Boyle County
1024,Bracken County
1025,Breathitt County
1026,Breckinridge County
1027,Bullitt County
1028,Butler County
1029,Caldwell County
1030,Calloway County
1031,Campbell County
1032,Carlisle County
1033,Carroll County
1034,Carter County
1035,Casey County
1036,Christian County
1037,Clark County
1038,Clay County
1039,Clinton County
1040,Crittenden County
1041,Cumberland County
1042,Daviess County
1043,Edmonson County
1044,Elliott County
1045,Estill County
1046,Fayette County
1047,Fleming County
1048,Floyd County
1049,Franklin County
1050,Fulton County
1051,Gallatin County
1052,Garrard County
1053,Grant County
1054,Graves County
1055,Grayson County
1056,Green County
1057,Greenup County
1058,Hancock County
1059,Hardin County
1060,Harlan County
1061,Harrison County
1062,Hart County
1063,Henderson County
1064,Henry County
1065,Hickman County
1066,Hopkins County
1067,Jackson County
1068,Jefferson County
1069,Jessamine County
1070,Johnson County
1071,Kenton County
1072,Knott County
1073,Knox County
1074,Larue County
1075,Laurel County
1076,Lawrence County
1077,Lee County
1078,Leslie County
1079,Letcher County
1080,Lewis County
1081,Lincoln County
1082,Livingston County
1083,Logan County
1084,Lyon County
1085,McCracken County
1086,McCreary County
1087,McLean County
1088,Madison County
1089,Magoffin County
1090,Marion County
1091,Marshall County
1092,Martin County
1093,Mason County
1094,Meade County
1095,Menifee County
1096,Mercer County
1097,Metcalfe County
1098,Monroe County
1099,Montgomery County
1100,Morgan County
1101,Muhlenberg County
1102,Nelson County
1103,Nicholas County
1104,Ohio County
1105,Oldham County
1106,Owen County
1107,Owsley County
1108,Pendleton County
1109,Perry County
1110,Pike County
1111,Powell County
1112,Pulaski County
1113,Robertson County
1114,Rockcastle County
